username,tweet_content,created_at,retweet_count,like_count,reply_count,quote_count,hashtag,language,geo_location,source,user_followers_count,user_verified,url
@ESPNcricinfo,"ESPNcricinfo
@ESPNcricinfo
·
Dec 4, 2021
Mumbai-born Ajaz Patel returned to his home city as a member of New Zealand's Test squad

He has now left his mark at Wankhede stadium  #INDvNZ
16
97
3.1K",2021-12-04T09:25:00.000Z,0,0,0,0,#Ajaz Patel,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@ESPNcricinfo/status/None
@PoppingCreaseSA,"ThePoppingCrease
@PoppingCreaseSA
·
51m
That's  for Ajaz Patel - his 6th Test 5-for! 

#INDvNZ
1
7
377",2024-11-02T07:42:23.000Z,0,0,0,0,#Ajaz Patel,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@PoppingCreaseSA/status/None
@mipaltan,"Mumbai Indians
@mipaltan
·
Dec 4, 2021
1988 - Born in Mumbai
2021 - Picks  wickets in a innings at the Wankhede 

𝗛𝗜𝗦𝗧𝗢𝗥𝗜𝗖! Ajaz Patel 

#OneFamily #INDvNZ 
@BCCI
17
228
4.8K",2021-12-04T07:50:50.000Z,0,0,0,0,#Ajaz Patel,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@mipaltan/status/None
@TV9Marathi,"TV9 Marathi
@TV9Marathi
·
Dec 4, 2021
Ajaz Patel | एजाज पटेलने एका डावात सर्वच्या सर्व 10 बळी घेत भारतीय संघ गुंडाळला
#AjazPatel #Ajaz #INDvsNZTestSeries #IndvsNZtest #mumbaitest
1
14",2021-12-04T08:13:27.000Z,0,0,0,0,#Ajaz Patel,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@TV9Marathi/status/None
@piersmorgan,"Piers Morgan
@piersmorgan
·
Dec 4, 2021
Congrats to New Zealand’s Ajaz Patel on becoming only the 3rd bowler in Test cricket history to bowl out an entire side. Wonderful achievement, and incredibly hard to do. 
46
80
1.8K",2021-12-04T18:14:05.000Z,0,0,0,0,#Ajaz Patel,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@piersmorgan/status/None
@JaayShaan,"JaayShaan (VaidhyaJayaShankar)
@JaayShaan
·
14m
6th 5-fer in Tests for Ajaz Patel 5/103. Excellent spell.

#INDvNZ 
@CentralStags
 @AjazP
79",2024-11-02T08:19:27.000Z,0,0,0,0,#Ajaz Patel,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@JaayShaan/status/None
@Abhinandan6638,"Abhinandan
@Abhinandan6638
·
1h
Ajaz Patel is only good in patches , he is not consistent, India is lucky that someone like Santner who at least knows how to bowl with consistency is not playing this test, otherwise it would have surely been 0-3 , secondly Pant magic saved ICT here again
4
5
30
588",2024-11-02T07:23:48.000Z,0,0,0,0,#Ajaz Patel,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Abhinandan6638/status/None
@Rag_ivan,"veco ஒண்டிப்புலி®
@Rag_ivan
·
Dec 5, 2021
#Ajaz patel on second innings too",2021-12-05T05:49:43.000Z,0,0,0,0,#Ajaz Patel,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Rag_ivan/status/None
@RubikaLiyakatFC,"Rubika liyaquat
@RubikaLiyakatFC
·
Dec 4, 2021
#bigbreaking :
Honorable Home Minister Shri #AmitShah's  Big statements to spend one night with #BSF Braveheart Jawans on #Jaisalmer border.
 𝐀𝐦𝐢𝐭 𝐒𝐡𝐚𝐡
#AmitShahWithBSF #BSFRaisingDay #BSFAtJaisalmer 
#Ajaz #Ajaz_patel #NewZealandCricket
2
4",2021-12-04T12:03:22.000Z,0,0,0,0,#Ajaz Patel,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@RubikaLiyakatFC/status/None
@Sportskeeda,"Sportskeeda
@Sportskeeda
·
49m
Yashasvi Jaiswal 
Shubman Gill 
Mohammed Siraj 
Sarfaraz Khan 
Ravichandran Ashwin 

A ten-wicket haul in his last game in Mumbai, and now a five-wicket haul for Ajaz Patel against India 

#AjazPatel #INDvNZ #Test #Sportskeeda
2
1
34
1.1K",2024-11-02T07:44:49.000Z,0,0,0,0,#Ajaz Patel,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@Sportskeeda/status/None
@WarmOvenIndia,"WarmOven
@WarmOvenIndia
·
Dec 4, 2021
#Ajaz ends it with pizzaz! 
.
.
#takeabow #AjazPatel #Ajaz_patel #patel #borninmumbai #INDvzNZ #IndiaVsNewZealand #10wickets #10wicket #trending #anilkumble #JimLaker #CricketTwitter #Cricket #cricketnation
ajaz patel and WarmOven
1",2021-12-04T10:43:42.000Z,0,0,0,0,#Ajaz Patel,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@WarmOvenIndia/status/None
@ct_hindi,"CricTracker Hindi
@ct_hindi
·
21h
एजाज पटेल ने चटकाए अहम विकेट 

: Jio Cinema

(Cricket, Cricket Updates, INDvNZ, Tests, Ajaz Patel)
29",2024-11-01T11:33:35.000Z,0,0,0,0,#Ajaz Patel,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@ct_hindi/status/None
@TNNavbharat,"Times Now Navbharat
@TNNavbharat
·
Oct 30
#INDvsNZTEST: वानखेड़े से है खास नाता, पहुंचकर भावुक हुआ यह कीवी गेंदबाज  

#SportsNews #Cricket
IND vs NZ TEST: वानखेड़े से है खास नाता, पहुंचकर भावुक हुआ यह कीवी गेंदबाज
From timesnowhindi.com
1
134",2024-10-30T11:04:33.000Z,0,0,0,0,#Ajaz Patel,Not available,Not available,Twitter Web,Not available,False,https://twitter.com/@TNNavbharat/status/None
